rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000069.png,0.028521,0.992385,1.682206
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000054.png,0.026918,0.995778,1.518379
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000042.png,0.029917,0.991821,1.703263
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000057.png,0.032662,0.991306,1.852691
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000030.png,0.036682,0.998135,1.541860
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000027.png,0.044306,0.991354,2.031622
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000012.png,0.030578,0.994014,1.920100
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000036.png,0.040433,0.991744,2.201668
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000033.png,0.039255,0.995432,1.671123
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000015.png,0.026783,0.992686,1.796887
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000039.png,0.024042,0.991790,1.738059
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000009.png,0.040377,0.993740,1.906759
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000051.png,0.031144,0.996285,1.673286
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000060.png,0.035321,0.995782,1.652561
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000021.png,0.049845,0.985912,2.367023
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000024.png,0.063183,0.978977,2.776630
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000045.png,0.030423,0.993554,1.838910
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000018.png,0.042665,0.987694,2.199217
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000048.png,0.027297,0.995255,1.575386
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000006.png,0.036188,0.995295,1.975321
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000063.png,0.039664,0.997050,1.609160
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000016.png,0.044098,0.980868,3.191344
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000032.png,0.050658,0.969808,2.482907
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000048.png,0.065148,0.933925,3.425476
