rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000069.png,0.056739,0.991714,1.872775
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000054.png,0.082119,0.975800,2.273216
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000042.png,0.080008,0.968882,2.040196
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000057.png,0.059614,0.984059,2.204269
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000030.png,0.066416,0.986357,1.939301
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000027.png,0.065710,0.978589,2.174222
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000012.png,0.076061,0.985956,2.307078
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000036.png,0.062801,0.989096,2.392323
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000033.png,0.078851,0.984071,2.324480
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000015.png,0.078885,0.984900,2.425017
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000039.png,0.097512,0.950826,2.442392
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000009.png,0.076965,0.989131,2.178996
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000051.png,0.093448,0.954093,2.641004
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000060.png,0.073930,0.962351,1.942754
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000021.png,0.079778,0.977183,2.724102
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000024.png,0.100207,0.972361,2.698947
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000045.png,0.090339,0.962064,2.431256
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000018.png,0.090120,0.974050,2.307050
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000048.png,0.089944,0.959317,2.647499
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000006.png,0.082504,0.992145,2.236558
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000063.png,0.074766,0.973669,1.843694
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000016.png,0.095029,0.964677,3.438457
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000032.png,0.061889,0.979459,2.750405
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000048.png,0.103241,0.928903,4.374785
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000064.png,0.078069,0.942868,3.470503
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000080.png,0.099427,0.949464,2.975002
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000096.png,0.098609,0.935173,3.892846
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000112.png,0.093117,0.947630,4.110551
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000128.png,0.094943,0.963196,4.573609
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000144.png,0.076448,0.944936,3.906327
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000160.png,0.100023,0.951143,3.227092
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000176.png,0.120990,0.916767,2.558389
