rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000069.png,0.075219,0.945498,2.050404
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000054.png,0.085932,0.947219,1.659232
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000042.png,0.100870,0.916404,1.718824
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000057.png,0.076228,0.953595,1.633001
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000030.png,0.091838,0.925537,2.050051
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000027.png,0.093237,0.904067,2.570385
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000012.png,0.113676,0.930416,2.352084
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000036.png,0.105316,0.899783,2.181957
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000033.png,0.092805,0.920418,2.103704
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000015.png,0.114309,0.915308,2.456057
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000039.png,0.111467,0.886811,1.834230
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000009.png,0.115937,0.923168,2.349599
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000051.png,0.098264,0.913872,1.873006
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000060.png,0.076913,0.955039,1.622676
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000021.png,0.107276,0.905659,2.557281
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000024.png,0.120131,0.844441,2.883674
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000045.png,0.091918,0.933504,1.701968
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000018.png,0.109493,0.905662,2.634183
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000048.png,0.087978,0.951640,1.599937
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000006.png,0.116786,0.898060,2.456280
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000063.png,0.082817,0.939732,1.651363
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000016.png,0.128936,0.950698,3.014762
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000032.png,0.112991,0.982433,2.812078
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000048.png,0.105530,0.968052,3.071089
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000064.png,0.103508,0.983401,2.588096
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000080.png,0.134262,0.973681,2.786398
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000096.png,0.124534,0.968563,2.999696
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000112.png,0.103820,0.982669,2.976515
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000128.png,0.137878,0.956909,3.924413
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000144.png,0.110101,0.940684,4.080072
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000160.png,0.109859,0.980185,2.892755
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000176.png,0.119035,0.937206,2.336077
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000196.png,0.091885,0.994606,1.669584
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000212.png,0.085103,0.993661,1.691708
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000228.png,0.072623,0.990489,2.229096
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000244.png,0.103479,0.974130,3.196344
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000260.png,0.098632,0.960986,2.828003
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000276.png,0.109009,0.987447,2.234682
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000292.png,0.097424,0.980314,2.550627
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000308.png,0.060712,0.987712,2.253517
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000324.png,0.071947,0.987989,2.224368
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000340.png,0.099614,0.946206,3.151041
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000356.png,0.087230,0.980168,2.537023
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000372.png,0.073650,0.985245,2.771645
2011_09_26/2011_09_26_drive_0009_sync/image_02/data/0000000388.png,0.042667,0.990872,2.567686
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000090.png,0.133295,0.860714,3.661040
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000050.png,0.092551,0.960735,3.165188
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000110.png,0.098979,0.929355,2.059482
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000115.png,0.101597,0.891739,2.205440
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000060.png,0.089578,0.988675,2.615386
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000105.png,0.101787,0.893882,1.859154
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000125.png,0.104155,0.916759,2.632704
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000020.png,0.068625,0.985568,2.661969
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000085.png,0.113993,0.952480,2.125650
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000070.png,0.110820,0.937348,2.639290
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000080.png,0.118070,0.897400,2.207896
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000065.png,0.103949,0.948705,2.443545
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000095.png,0.110919,0.915304,2.885645
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000130.png,0.104309,0.942110,2.480037
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000100.png,0.085165,0.963951,1.994250
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000010.png,0.102173,0.970774,3.405516
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000030.png,0.079504,0.970819,4.276100
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000135.png,0.105085,0.901479,2.656735
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000040.png,0.071375,0.956612,3.894821
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000005.png,0.087128,0.984403,3.168790
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000120.png,0.111376,0.887092,2.463030
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000045.png,0.085105,0.943175,4.185434
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000035.png,0.085161,0.934042,4.149745
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000069.png,0.076878,0.987988,2.029529
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000057.png,0.074417,0.980230,2.120547
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000012.png,0.090507,0.980812,2.200639
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000072.png,0.076897,0.982483,2.377245
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000018.png,0.080405,0.975455,2.689169
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000063.png,0.076966,0.983039,2.184158
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000015.png,0.084670,0.981622,2.450366
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000066.png,0.072919,0.988636,1.934129
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000006.png,0.102432,0.958796,2.101414
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000048.png,0.078049,0.984051,2.470612
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000060.png,0.072100,0.983197,2.152228
