rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000069.png,0.029956,0.991743,1.767999
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000054.png,0.026357,0.994353,1.586741
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000042.png,0.036481,0.992580,1.759419
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000057.png,0.034591,0.990597,1.905432
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000030.png,0.045168,0.998126,1.635918
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000027.png,0.049560,0.989470,2.211019
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000012.png,0.030646,0.993899,1.999250
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000036.png,0.048011,0.987960,2.415166
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000033.png,0.043266,0.995075,1.734417
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000015.png,0.032210,0.992113,1.950064
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000039.png,0.031163,0.991895,1.804542
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000009.png,0.038633,0.993771,1.946796
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000051.png,0.031871,0.993386,1.859093
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000060.png,0.033551,0.993169,1.707644
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000021.png,0.054467,0.985015,2.485727
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000024.png,0.071259,0.977614,2.852885
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000045.png,0.031440,0.993780,1.879013
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000018.png,0.047116,0.986549,2.278787
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000048.png,0.026684,0.994126,1.640370
2011_09_26/2011_09_26_drive_0002_sync/image_02/data/0000000006.png,0.036873,0.995008,2.040254
