idx,abs_rel,d1,rmse
0001,0.071996,0.998336,0.240548
0002,0.068589,0.990954,0.154672
0009,0.149104,0.881137,0.358111
0014,0.173843,0.828404,0.526576
0015,0.061084,0.969127,0.443402
0016,0.076345,0.972854,0.400125
0017,0.091509,0.927209,0.488858
0018,0.073762,0.973780,0.441969
0021,0.097196,0.925943,0.322711
0028,0.144260,0.697288,0.668533
0029,0.365073,0.370607,1.503927
0030,0.090844,0.879435,0.573095
0031,0.175242,0.802687,0.374272
0032,0.143639,0.795397,0.614115
0033,0.093300,0.947858,0.180616
0034,0.132377,0.815451,0.400594
0035,0.115343,0.823327,0.755493
0036,0.106021,0.835836,0.654485
0037,0.171840,0.631388,0.569774
0038,0.135928,0.867824,0.564349
0039,0.089065,0.941927,0.289827
0040,0.055153,0.970213,0.191234
0041,0.088938,0.951367,0.256222
0042,0.130720,0.959465,0.280982
0043,0.055577,0.998260,0.178541
0046,0.186523,0.841625,0.333234
0047,0.140814,0.834012,0.500499
0056,0.048498,0.997032,0.130661
0057,0.128304,0.924308,0.266965
0059,0.069551,0.925813,0.198310
0060,0.132324,0.885731,0.279544
0061,0.122792,0.874556,0.292504
0062,0.060113,0.955412,0.144785
0063,0.073423,0.996215,0.186833
0076,0.123435,0.901857,0.349856
0077,0.087059,0.963615,0.301691
0078,0.087944,0.963556,0.211662
0079,0.117408,0.937286,0.271631
0084,0.107296,0.887840,0.554735
0085,0.114877,0.905273,0.395190
0086,0.137405,0.852410,0.722411
0087,0.132976,0.933815,0.554230
0088,0.323297,0.537848,1.170881
0089,0.134380,0.842111,1.116697
0090,0.178130,0.823415,1.053763
0091,0.209106,0.591675,1.215212
0117,0.117559,0.846353,0.879956
0118,0.131273,0.809281,0.955583
0119,0.144993,0.780189,1.149055
0125,0.093103,0.923097,0.343370
0126,0.077346,0.986762,0.178969
0127,0.099914,0.965841,0.192715
0128,0.117050,0.949107,0.154530
0129,0.076262,0.993524,0.106893
0131,0.092766,0.954452,0.195962
0132,0.102107,0.960643,0.157691
0133,0.054148,0.986553,0.089204
0134,0.240216,0.360354,0.626621
0137,0.076165,0.962911,0.168760
0153,0.088533,0.932294,0.268307
0154,0.086804,0.991013,0.250405
0155,0.114702,0.844857,0.263794
0167,0.141670,0.861632,0.310932
0168,0.144385,0.906749,0.254089
0169,0.115858,0.987915,0.259458
0171,0.091965,0.965635,0.379800
0172,0.098753,0.951844,0.472087
0173,0.091093,0.935429,0.453159
0174,0.109003,0.906937,0.389587
0175,0.113600,0.815141,0.206739
0176,0.108167,0.975784,0.236967
0180,0.079967,0.996596,0.232177
0181,0.076145,0.986850,0.199334
0182,0.046743,0.996479,0.133834
0183,0.122344,0.903856,0.253600
0184,0.155177,0.944857,0.278548
0185,0.104966,0.929917,0.297896
0186,0.230523,0.556422,0.707249
0187,0.053464,0.995938,0.118519
