idx,abs_rel,d1,rmse
0001,2.122337,0.000000,6.346302
0002,3.923286,0.000000,6.952239
0009,3.342637,0.000000,6.135820
0014,2.525171,0.000000,6.831694
0015,1.578973,0.063439,4.693835
0016,2.243497,0.018683,5.068422
0017,1.862876,0.043888,5.476828
0018,2.039784,0.059054,5.496113
0021,2.846382,0.000000,6.656693
0028,1.270811,0.000717,5.149313
0029,2.892197,0.032835,6.736097
0030,1.594005,0.002725,5.372307
0031,2.569650,0.000000,6.088014
0032,2.974415,0.000000,6.910463
0033,4.489950,0.000000,7.381275
0034,2.408605,0.000000,6.526181
0035,1.103279,0.000021,4.682798
0036,1.233883,0.000000,5.168993
0037,2.255539,0.000000,6.163797
0038,3.498166,0.000000,6.749596
0039,2.207012,0.000000,6.305696
0040,2.405162,0.000000,6.621596
0041,2.549113,0.000000,6.421847
0042,3.673797,0.000000,7.287400
0043,2.694009,0.000000,6.644917
0046,6.209756,0.000000,7.393658
0047,3.924896,0.000000,6.701080
0056,3.105974,0.000000,6.782430
0057,3.846403,0.000000,6.840870
0059,2.749696,0.000000,6.027861
0060,3.485563,0.000000,6.935058
0061,3.424310,0.000000,6.866027
0062,3.863403,0.000000,6.747295
0063,3.462196,0.000000,7.285275
0076,2.426199,0.000000,6.281077
0077,2.299195,0.000000,6.409199
0078,3.831606,0.000000,7.056628
0079,3.107927,0.000000,6.626089
0084,1.422390,0.000889,4.554114
0085,2.212039,0.000000,6.226936
0086,1.957827,0.069580,5.232205
0087,1.944425,0.116071,5.004577
0088,3.490590,0.243830,6.046595
0089,1.668977,0.030806,5.042832
0090,1.663520,0.076878,4.734714
0091,1.648666,0.145787,5.200377
0117,1.155755,0.083673,4.242347
0118,1.365623,0.171496,4.527925
0119,1.301698,0.178999,4.641365
0125,3.776424,0.000000,6.793527
0126,4.041434,0.000000,6.467072
0127,5.179706,0.000000,7.279624
0128,6.889554,0.000000,7.520708
0129,6.612735,0.000000,7.729479
0131,3.708951,0.000000,6.962619
0132,5.672674,0.000000,7.557299
0133,5.787887,0.000000,7.646415
0134,3.966342,0.000000,6.941789
0137,4.303603,0.000000,7.339319
0153,2.910781,0.000000,6.774129
0154,2.789770,0.000000,6.345128
